1,STATE ABBREVIATION,STATE,D,FEC ID#,(I),CANDIDATE NAME (First),CANDIDATE NAME (Last),CANDIDATE NAME,TOTAL VOTES,PARTY,PRIMARY VOTES,PRIMARY %,RUNOFF VOTES,RUNOFF %,GENERAL VOTES ,GENERAL %,GE RUNOFF ELECTION VOTES (LA),GE RUNOFF ELECTION % (LA),"COMBINED GE PARTY TOTALS (CT, NY, SC)","COMBINED % (CT, NY, SC)",GE WINNER INDICATOR,FOOTNOTES
145,AZ,Arizona,9,n/a,,,,,Party Votes:,R,"50,292",,,,,,,,,,,
146,AZ,Arizona,9,H4AZ02119,,Powell,Gammill,"Gammill, Powell",,W(LIB)/LIB,52,100.00%,,,"5,612",3.46%,,,,,,
147,AZ,Arizona,9,n/a,,,,,Party Votes:,LIB,52,,,,,,,,,,,
148,AZ,Arizona,9,n/a,,,,,District Votes:,,"82,244",,,,"162,062",,,,,,,
149,AZ,Arizona,H,n/a,,,,,Total State Votes:,,"724,755",,,,"1,467,617",,,,,,,
150,,,,n/a,,,,,,,,,,,,,,,,,,
151,AR,Arkansas,1,H0AR01083,(I),Rick ,Crawford,"Crawford, Rick ",,R,Unopposed,,,,"124,139",63.25%,,,,,W,
152,AR,Arkansas,1,H4AR01051 ,,Jackie,McPherson,"McPherson, Jackie",,D,Unopposed,,,,"63,555",32.38%,,,,,,
153,AR,Arkansas,1,H4AR01069,,Brian Scott,Willhite,"Willhite, Brian Scott",,LIB,Unopposed,,,,"8,562",4.36%,,,,,,
154,AR,Arkansas,1,n/a,,,,,District Votes:,,,,,,"196,256",,,,,,,
155,AR,Arkansas,2,H4AR02141 ,,French ,Hill,"Hill, French ",,R,"29,916",55.08%,,,"123,073",51.86%,,,,,W,
156,AR,Arkansas,2,H4AR02158 ,,Ann,Clemmer,"Clemmer, Ann",,R,"12,400",22.83%,,,,,,,,,,
157,AR,Arkansas,2,H4AR02166 ,,Conrad,Reynolds,"Reynolds, Conrad",,R,"11,994",22.08%,,,,,,,,,,
158,AR,Arkansas,2,n/a,,,,,Party Votes:,R,"54,310",,,,,,,,,,,
159,AR,Arkansas,2,H4AR02133 ,,Patrick Henry,Hays,"Hays, Patrick Henry",,D,Unopposed,,,,"103,477",43.60%,,,,,,
160,AR,Arkansas,2,H4AR02174 ,,Debbie ,Standiford,"Standiford, Debbie ",,LIB,Unopposed,,,,"10,590",4.46%,,,,,,
161,AR,Arkansas,2,H4AR02182 ,,Charles,Neely,"Neely, Charles",,W,,,,,190,0.08%,,,,,,
162,AR,Arkansas,2,n/a,,,,,District Votes:,,"54,310",,,,"237,330",,,,,,,
163,AR,Arkansas,3,H0AR03055 ,(I),Steve,Womack,"Womack, Steve",,R,Unopposed,,,,"151,630",79.41%,,,,,W,
164,AR,Arkansas,3,H4AR03057,,Grant ,Brand,"Brand, Grant ",,LIB,Unopposed,,,,"39,305",20.59%,,,,,,
